INDICE;LATITUDE;LONGITUDE;CODIGO_ROTA;SEQUENCIA;LOGRADOURO;NUMERO
400090287.0;-22.811509;-43.324287;72_202;302.0;FREDERIC CHOPIN;42
400388748.0;-22.805487;-43.322598;72_209;333.0;ATILIO VIVAQUA;205
400105625.0;-22.81312;-43.321011;72_213;249.0;CRISTIANO MACHADO;711
400049384.0;-22.811425;-43.320286;72_213;137.0;JORN GERALDO ROCHA;646
400032823.0;-22.813009;-43.323657;72_202;23.0;JORGE LACERDA;240
400095384.0;-22.816591;-43.319691;72_201;150.0;PROF FRANCA AMARAL;326
400544059.0;-22.811814;-43.324704;72_202;292.0;FRANZ SCHUBERT;13
400457578.0;-22.807766;-43.326853;72_205;99.0;BARAO DE STUDART;22
400478024.0;-22.81223;-43.320968;72_213;93.0;CONS MEIRELLES;228
402153225.0;-22.818419;-43.317135;72_214;21.0;CRISTIANO MACHADO;28
401820602.0;-22.80953;-43.324825;72_205;48.0;PINTOR MARQUES JUNIOR;610
400394155.0;-22.808414;-43.324315;72_208;396.0;OTAVIO MANGABEIRA;25
400353426.0;-22.810554;-43.321616;72_211;14.0;ROBERT SCHUMANN;681
400090237.0;-22.807431;-43.325007;72_208;377.0;OTAVIO MANGABEIRA;155
400105916.0;-22.815144;-43.322197;72_201;72.0;CARI LEVI;204
400003871.0;-22.811856;-43.326023;72_205;316.0;ATILIO PARIM;608
400155235.0;-22.806996;-43.3202;72_210;327.0;DEBUSSY;212
400154663.0;-22.806213;-43.325873;72_207;408.0;OTAVIO MANGABEIRA;331
400086773.0;-22.810157;-43.327076;72_204;401.0;PADRE PERONEILLE;225
400421665.0;-22.809128;-43.32194;72_210;7.0;ROBERT SCHUMANN;531
400378434.0;-22.805138;-43.325533;72_207;17.0;MIN ARTUR COSTA;1102
400145380.0;-22.812668;-43.321339;72_213;181.0;CRISTIANO MACHADO;781
401732361.0;-22.809153;-43.325085;72_205;44.0;PINTOR MARQUES JUNIOR;560
